"Home","Away","Big12_Win"
"West Virginia","Texas A&M",0.943538845139358
"Oklahoma","Florida",0.286958132643267
"Tennessee","Kansas State",0.490403473340022
"Texas Tech","Louisiana State",0.912120240875931
"Georgia","Texas",0.33457455995571
"Vanderbilt","Iowa State",0.658353717494096
"Oklahoma State","Arkansas",0.73715452310369
"Kentucky","Kansas",0.282211432046065
"Mississippi","Baylor",0.842531510782759
"Texas Christian","Auburn",0.838795692818665
