Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Washington DC
1972,0.260670398,0.373284569,0.330156048,0.308537966,0.430288627,0.355900596,0.406582637,0.39667727,0.278785547,0.247244081,0.375208122,0.28844795,0.40697874,0.335222891,0.412675179,0.303659481,0.354292887,0.302684077,0.385054743,0.378837768,0.545091299,0.426591187,0.471797556,0.200633954,0.377056649,0.395159991,0.294975264,0.363192236,0.352663414,0.373920731,0.374536091,0.413093646,0.293724399,0.365706958,0.389652502,0.245630966,0.446599336,0.398307027,0.468992454,0.283466902,0.456708254,0.305263832,0.334268315,0.280676643,0.367865834,0.307477336,0.404373202,0.363897382,0.45019571,0.306293243,0.783694497
1964,0,0.659079082,0.495021737,0.563621491,0.591672936,0.615980259,0.678791389,0.61113048,0.511485424,0.45872899,0.787611388,0.509168242,0.594719208,0.562376139,0.620067367,0.545525725,0.642274965,0.431854315,0.688420196,0.654700302,0.76468667,0.668367447,0.63912478,0.128604459,0.640495875,0.592351359,0.526071892,0.585817341,0.638904798,0.659601542,0.595409001,0.686509942,0.561507751,0.580578392,0.62942999,0.557463332,0.639218623,0.651656086,0.808717744,0.411054449,0.556124155,0.555066299,0.634379466,0.5486448,0.66307514,0.536899205,0.623781541,0.679368466,0.62195049,0.565584798,0.854977668
1960,0.572195138,0.490586222,0.444148816,0.538218577,0.497252932,0.451142152,0.537306561,0.508208182,0.484854058,0.62560598,0.500311307,0.462150108,0.500933043,0.447646462,0.432512455,0.392795616,0.464093051,0.638143311,0.429523884,0.536135068,0.603579494,0.510103858,0.507158705,0.595647609,0.502579582,0.487442724,0.379291953,0.511620536,0.465822066,0.504018388,0.503702867,0.526363347,0.521086459,0.445472611,0.467158546,0.409800144,0.47378466,0.511641359,0.636277106,0.512375642,0.417864379,0.463814148,0.510104737,0.451799076,0.413502513,0.472488681,0.487800868,0.527328741,0.481352623,0.449851544,
1956,0.589342298,,0.389415945,0.533774314,0.44424055,0.400921218,0.362676334,0.447497718,0.427292701,0.670614493,,0.388012329,0.403655005,0.398586682,0.407668282,0.343279329,0.454351091,0.425770997,0.291345613,0.399648845,0.404969362,0.442452608,0.461933369,0.70423963,0.501087003,0.428652031,0.344855727,0.420316685,0.338590319,0.34604821,0.419548729,0.387918025,0.506635255,0.381613204,0.388857902,0.448689126,0.447533092,0.433930345,0.417405169,0.643045758,0.41614799,0.496854032,0.443145518,0.354388539,0.278208959,0.409281907,0.457396679,0.459219745,0.380619767,0.399220154,
1952,0.64829392,,0.416502283,0.560905181,0.426515515,0.392626734,0.440803689,0.480550717,0.449905256,0.696586775,,0.344761193,0.450415734,0.413631205,0.358224527,0.307212921,0.500353265,0.529221476,0.338325374,0.441835306,0.456057832,0.442334553,0.443589525,0.604366586,0.492166505,0.402921774,0.308462094,0.385545687,0.390778531,0.424972025,0.44426925,0.439906192,0.539101172,0.285738769,0.432443029,0.454105654,0.391352832,0.4704607,0.490775611,0.507215189,0.30727565,0.498630679,0.467750202,0.410749073,0.283232727,0.434953716,0.451343099,0.519236493,0.388393545,0.371636132,
1944,0.817052633,,0.589783767,0.700958987,0.567913046,0.465809383,0.527019777,0.545707813,0.703237932,0.817476308,,0.51749576,0.517438694,0.47149329,0.477371285,0.394018811,0.546322296,0.806048426,0.475000422,0.518523632,0.529117684,0.505128411,0.527946441,0.935578632,0.514745165,0.547134684,0.414198599,0.546207176,0.521227987,0.506807633,0.535182835,0.525158677,0.667125838,0.45794978,0.498171615,0.556954283,0.524546414,0.513961605,0.586783027,0.951581225,0.416721246,0.606475606,0.811037185,0.605244799,0.429368074,0.625197732,0.573712702,0.548880933,0.490898113,0.487655417,
1940,0.855983066,,0.638103914,0.790174502,0.581479246,0.487138848,0.535796213,0.548364807,0.740144019,0.851197545,,0.545412658,0.512233708,0.49283829,0.47788502,0.427131471,0.575920786,0.85909075,0.48833907,0.587918909,0.533930291,0.4983294,0.519316066,0.958071183,0.523904815,0.594014115,0.42813187,0.600763531,0.53220853,0.518176023,0.566617854,0.517871146,0.740310558,0.445170228,0.522043657,0.576192472,0.540651087,0.534621411,0.56783705,0.956325754,0.425909535,0.675176763,0.810547393,0.623522803,0.450567863,0.683303217,0.589269229,0.570989176,0.509253793,0.52972659,
1936,0.870745813,,0.721751072,0.820814971,0.678699496,0.619417243,0.578270134,0.549102712,0.76097628,0.873618742,,0.654806996,0.592464769,0.574822446,0.560275309,0.538731941,0.594467589,0.888405599,0.428021114,0.627347045,0.550867776,0.592355378,0.665996043,0.972391842,0.614197643,0.715175021,0.583768499,0.728083379,0.508958151,0.600746492,0.632060514,0.601623488,0.734004508,0.691601067,0.607701926,0.671502337,0.684915995,0.582066804,0.569258171,0.98574114,0.559696485,0.69062696,0.876084076,0.699466017,0.433987439,0.704976659,0.689570889,0.607027079,0.67830365,0.617819125,
1932,0.857060412,,0.687053602,0.869458749,0.609632151,0.569535567,0.494046157,0.487638251,0.748908257,0.921793362,,0.605204095,0.567803901,0.560052442,0.590664051,0.548278278,0.595283454,0.929724048,0.436177412,0.630522088,0.520554522,0.540893054,0.622748545,0.964361395,0.644861171,0.619806782,0.640921431,0.694086411,0.49278299,0.509778716,0.636873267,0.566734452,0.70485756,0.713052031,0.514704545,0.732960279,0.611252108,0.471341573,0.559835033,0.981040019,0.649089051,0.671818241,0.885869508,0.5792751,0.416014787,0.694713503,0.628682784,0.550548681,0.670434848,0.578693602,
1928,0.514226162,,0.42315801,0.605218663,0.345792283,0.344005085,0.459400502,0.347317138,0.413789177,0.56602175,,0.352257601,0.426154687,0.398794172,0.378221344,0.273114232,0.405478164,0.762945115,0.310909147,0.425869112,0.50548101,0.29127458,0.414079179,0.82099913,0.442699056,0.409520633,0.36409333,0.434648487,0.411561348,0.399669512,0.409066997,0.48792015,0.45064473,0.447933336,0.346827699,0.357414957,0.347220279,0.341849804,0.503067718,0.9145541,0.394447155,0.461341876,0.481637357,0.461182326,0.329566017,0.459864481,0.318243825,0.412591208,0.45276551,0.357100199,
